time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 04:09:00,11024.529,11024.529,11023.915,11023.915,60,1100,0
2023-07-31 04:10:00,11023.909,11023.909,11023.248,11023.248,59,1100,0
2023-07-31 04:11:00,11023.223,11023.223,11022.666,11022.666,59,1100,0
2023-07-31 04:12:00,11022.659,11022.659,11022.123,11022.123,57,1100,0
2023-07-31 04:13:00,11022.114,11022.114,11021.574,11021.574,56,1100,0
2023-07-31 04:14:00,11021.565,11021.565,11020.926,11020.926,59,1100,0
2023-07-31 04:15:00,11020.919,11020.919,11020.3,11020.3,57,1100,0
2023-07-31 04:16:00,11020.281,11020.281,11019.65,11019.65,60,1100,0
2023-07-31 04:17:00,11019.647,11019.647,11019.007,11019.007,57,1100,0
2023-07-31 04:18:00,11018.994,11018.994,11018.359,11018.359,59,1100,0
2023-07-31 04:19:00,11018.343,11018.343,11017.808,11017.808,58,1100,0
2023-07-31 04:20:00,11017.796,11017.796,11017.185,11017.185,55,1100,0
2023-07-31 04:21:00,11017.172,11017.172,11016.588,11016.588,59,1100,0
2023-07-31 04:22:00,11016.571,11016.571,11016.047,11016.047,58,1100,0
2023-07-31 04:23:00,11016.025,11016.025,11015.428,11015.428,58,1100,0
2023-07-31 04:24:00,11015.411,11015.411,11014.745,11014.745,58,1100,0
2023-07-31 04:25:00,11014.731,11022.864,11014.214,11022.771,60,1100,0
2023-07-31 04:26:00,11022.75,11022.75,11021.98,11021.98,60,1100,0
2023-07-31 04:27:00,11021.975,11021.975,11021.414,11021.414,59,1100,0
2023-07-31 04:28:00,11021.411,11021.411,11020.827,11020.827,60,1100,0
2023-07-31 04:29:00,11020.814,11020.814,11020.176,11020.176,58,1100,0
2023-07-31 04:30:00,11020.169,11020.169,11019.484,11019.484,58,1100,0
2023-07-31 04:31:00,11019.462,11019.462,11018.666,11018.666,60,1100,0
2023-07-31 04:32:00,11018.662,11018.662,11017.913,11017.913,60,1100,0
2023-07-31 04:33:00,11017.889,11017.889,11017.327,11017.327,58,1100,0
2023-07-31 04:34:00,11017.308,11017.308,11016.665,11016.665,58,1100,0
2023-07-31 04:35:00,11016.642,11016.642,11016.05,11016.05,60,1100,0
2023-07-31 04:36:00,11016.036,11016.036,11015.351,11015.351,60,1100,0
2023-07-31 04:37:00,11015.341,11015.341,11014.729,11014.729,58,1100,0
2023-07-31 04:38:00,11014.715,11014.715,11014.083,11014.083,57,1100,0
2023-07-31 04:39:00,11014.068,11014.068,11013.433,11013.433,60,1100,0
2023-07-31 04:40:00,11013.425,11013.425,11012.743,11012.743,56,1100,0
2023-07-31 04:41:00,11012.742,11012.742,11012.114,11012.114,58,1100,0
2023-07-31 04:42:00,11012.111,11012.111,11011.497,11011.497,58,1100,0
2023-07-31 04:43:00,11011.493,11011.493,11010.863,11010.863,59,1100,0
2023-07-31 04:44:00,11010.855,11010.855,11010.139,11010.139,58,1100,0
2023-07-31 04:45:00,11010.137,11010.137,11009.582,11009.582,58,1100,0
2023-07-31 04:46:00,11009.578,11009.578,11008.976,11008.976,59,1100,0
2023-07-31 04:47:00,11008.96,11008.96,11008.381,11008.381,58,1100,0
2023-07-31 04:48:00,11008.376,11008.376,11007.71,11007.71,57,1100,0
2023-07-31 04:49:00,11007.689,11007.689,11007.02,11007.02,59,1100,0
2023-07-31 04:50:00,11006.99,11006.99,11006.426,11006.426,57,1100,0
2023-07-31 04:51:00,11006.415,11006.415,11005.687,11005.687,59,1100,0
2023-07-31 04:52:00,11005.679,11005.679,11004.927,11004.927,60,1100,0
2023-07-31 04:53:00,11004.926,11004.926,11004.317,11004.317,59,1100,0
